candidate_id,triage_group,admission_status,m12_m,m_c0,m_c1,selection_stratum,best_closure_level,layout_status,layout_failed_stage,magical_result,drc_count,connectivity_lvs_match,lvs_status,circuits_match,netlists_match,device_mismatch,net_mismatch,property_mismatch,likely_cause,pex_caps,pex_total_cap_ff,raw_pex_path,default_training_inclusion,netgen_exit_status
grpo_leung_dfcfc2_0001,magical_place_route_no_raw_pex,physical_closure_failed,154,30.0,1.0,high_predicted_closure,L2_pre_layout_pvt,FAIL,magical_place_route,,,,,,,,,,,,,,False,
grpo_leung_dfcfc2_0003,magical_place_route_no_raw_pex,physical_closure_failed,100,7.0,14.0,high_predicted_closure,L2_pre_layout_pvt,FAIL,magical_place_route,,,,,,,,,,,,,,False,
grpo_leung_dfcfc2_0004,magical_place_route_no_raw_pex,physical_closure_failed,100,30.0,13.0,high_predicted_closure,L2_pre_layout_pvt,FAIL,magical_place_route,,,,,,,,,,,,,,False,
grpo_leung_dfcfc2_0005,magical_place_route_no_raw_pex,physical_closure_failed,149,30.0,1.0,high_predicted_closure,L2_pre_layout_pvt,FAIL,magical_place_route,,,,,,,,,,,,,,False,
grpo_leung_dfcfc2_0006,magical_place_route_no_raw_pex,physical_closure_failed,161,1.0,3.0,high_predicted_closure,L2_pre_layout_pvt,FAIL,magical_place_route,,,,,,,,,,,,,,False,
grpo_leung_dfcfc2_0008,magical_place_route_no_raw_pex,physical_closure_failed,500,2.0,30.0,medium_predicted_closure,L2_pre_layout_pvt,FAIL,magical_place_route,,,,,,,,,,,,,,False,
grpo_leung_dfcfc2_0009,timeout_after_layout_pex_with_lvs_property_mismatch,simulation_timeout_or_hang,478,1.0,30.0,medium_predicted_closure,,,,pass,0,yes,FAIL,yes,yes,no,no,yes,property mismatch,126,4723.97 fF,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/runs/grpo_leung_dfcfc2_0009/cand_0001/layout/leung_dfcfc2_pin_3_extracted.raw.spice,False,0
grpo_leung_dfcfc2_0011,magical_place_route_no_raw_pex,physical_closure_failed,100,17.0,30.0,medium_predicted_closure,L2_pre_layout_pvt,FAIL,magical_place_route,,,,,,,,,,,,,,False,
grpo_leung_dfcfc2_0012,timeout_after_layout_pex_with_lvs_property_mismatch,simulation_timeout_or_hang,191,30.0,11.0,medium_predicted_closure,,,,pass,0,yes,FAIL,yes,yes,no,no,yes,property mismatch,115,3128.18 fF,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/runs/grpo_leung_dfcfc2_0012/cand_0001/layout/leung_dfcfc2_pin_3_extracted.raw.spice,False,0
grpo_leung_dfcfc2_0014,magical_place_route_no_raw_pex,physical_closure_failed,100,11.0,30.0,medium_predicted_closure,L2_pre_layout_pvt,FAIL,magical_place_route,,,,,,,,,,,,,,False,
