graph_id,design_id,source_family,source_type,action_space_contract_id,nodes,edges,total_cap_ff,max_edge_cap_ff,raw_pex_sha256
alfio_raffc_pin_3:cand_0001,alfio_raffc_pin_3,stage3_fresh,,,18,130,99.32308,33.4134,2dfb75e1bffd4497d0d4a8af44f5e4543467068949334080cf3cbc8d7963159c
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0000_baseline,alfio_raffc_pin_3,alfio_raffc_reproduction_sweep_20260818_v1,,,18,130,99.32308,33.4134,9a59b0024acfb82e4a689a6f4a56cb42f094fc905479ebc2ff0a1d41986813e2
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0001_gm1_pmos_w_pstep,alfio_raffc_pin_3,alfio_raffc_reproduction_sweep_20260818_v1,,,18,130,99.45836,33.3972,4032a51d2a110280c9160eed17a5603c8b3d52d5c432f284e2eada9c2a06118d
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0002_gm2_pmos_w_pstep,alfio_raffc_pin_3,alfio_raffc_reproduction_sweep_20260818_v1,,,18,126,99.23916,33.0671,f508947e4f9cd1ee96650dbe1ce08f4d07568dada7337aa878623ec130bdbe58
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0003_gmb_nmos_w_pstep,alfio_raffc_pin_3,alfio_raffc_reproduction_sweep_20260818_v1,,,18,128,103.41121,36.5908,0dcb1dd4e684883e30abca1c0fcb866bea2fb615a88299f01ffcce3537fa138c
fan_smc_pin_3:cand_0008,fan_smc_pin_3,stage2_fixed_gds,,,18,115,520.84706,140.91,151bdffe7c1110037f71a8d787310324ef3b6c5697d1f2c4553f910f1115a95a
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0000_baseline,fan_smc_pin_3,fan_smc_reproduction_sweep_20260817_v1,,,18,115,520.84706,140.91,88f895c6e10788c28d7e43bc5bdda54e3bcbd93e2623b05517cfd656afae0657
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0001_input_pair_w_mstep,fan_smc_pin_3,fan_smc_reproduction_sweep_20260817_v1,,,18,115,520.80192,140.91,c0edd2085054f7468a1ae017accc94d4de9a0d9121e4dd296283199da61748a7
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0002_input_pair_w_pstep,fan_smc_pin_3,fan_smc_reproduction_sweep_20260817_v1,,,18,121,532.59027,142.17,b3b1fe05700d5b92893931948d57c3a50168f45e1cb43aed57b723dde2f0c376
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0003_load2_nmos_w_pstep,fan_smc_pin_3,fan_smc_reproduction_sweep_20260817_v1,,,18,115,520.83408,140.91,b741e8bc578e7c661f23712913a90802ec51c1acfb5fe6eb9630349c85723b1c
grpo_admission_20260821_analoggym_contract_v1/grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,grpo_admission_20260821_analoggym_contract_v1,grpo_export,leung_dfcfc2_pin_3.analoggym_action_space_v1,19,131,1557.8,407.69,12aa25a1d5fef2ae9eb1d1dcfe8371fa52df5c56401e0b044e65e46c00d17441
grpo_admission_20260821_analoggym_contract_v1/grpo_leung_dfcfc2_0006,leung_dfcfc2_pin_3,grpo_admission_20260821_analoggym_contract_v1,grpo_export,leung_dfcfc2_pin_3.analoggym_action_space_v1,19,151,5698.66,3176.94,47f7997cf2c869921f78031e56c15b4a468fd3de8af2c2e6095c03c63e8b4f58
hoilee_affc_pin_3:cand_0001,hoilee_affc_pin_3,stage3_fresh,,,21,156,272.48469,61.45211,991c1bcefde9af801f3698b64c06b545eb1ed5aee1727d4ec54de3ef7ea2231c
leung_dfcfc1_pin_3:cand_0001,leung_dfcfc1_pin_3,stage3_fresh,,,19,142,1351.17155,272.18,a51565a1dfcdd346a52f999d86f9cd15def913d2c6f41693479893547144da58
leung_dfcfc2_pin_3:cand_0001,leung_dfcfc2_pin_3,stage3_fresh,,,19,106,513.11719,93.4841,5cf95b614837b29efd8658d73cf274d74ecf243b6bfa8784504806ff312d0963
leung_nmcf_pin_3:cand_0002,leung_nmcf_pin_3,stage2_fixed_gds,,,18,115,232.13717,52.0028,c475488bf98e99b22cefbab81d4f8c054b8f8926a8598eb2d1cfddcc4e33cc6b
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0000_baseline,leung_nmcf_pin_3,leung_nmcf_reproduction_sweep_20260818_v1,,,18,115,232.13717,52.0028,84348b85d0fb12da9d15ae366bc3a18b0cedddb3fde90795fd05387ae931772c
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0001_input_pair_w_mstep,leung_nmcf_pin_3,leung_nmcf_reproduction_sweep_20260818_v1,,,18,115,232.11217,52.0028,bd0e4ae0d024e1d3f606173a84a6331c604f25b60ae92417a5e39dfd291299e3
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0002_input_pair_w_pstep,leung_nmcf_pin_3,leung_nmcf_reproduction_sweep_20260818_v1,,,18,116,216.91159,51.598,c8a1b02f820bf1737917e1e9bce8ed3105e7af1c6d93f87259d3a8ef43bdbdae
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0003_load2_nmos_w_pstep,leung_nmcf_pin_3,leung_nmcf_reproduction_sweep_20260818_v1,,,18,115,232.13655,52.0,c0dc6226f989f4d3c165065278e56b310650c0180bf31ce0634d2577136673de
leung_nmcnr_pin_3:cand_0001,leung_nmcnr_pin_3,stage3_fresh,,,18,118,274.77841,69.7895,947d9defc65d9da568bbafe0c76c8842c29684667bf70ac7c39cc267bc59e775
peng_acbc_pin_3:cand_0001,peng_acbc_pin_3,stage3_fresh,,,19,127,251.96947,56.8312,049d9f534d7a60ef83c56d471f7dd1b6517eae816fbc062921131720db15aea9
qu2017_azc_pin_3:cand_0001,qu2017_azc_pin_3,stage3_fresh,,,21,124,162.41758,42.9369,236353bd38d7a536ad6ec3417f41e44343c55ff0fe018fdf1eb745ff51c5c501
ramos_pfc_pin_3:cand_0001,ramos_pfc_pin_3,stage3_fresh,,,18,114,1758.0844,293.36,9cb89cdf44b7f6759f66b039b0eb9af68a3a4681982cd6c58b75c6c12467548b
sau_cfcc_pin_3:cand_0001,sau_cfcc_pin_3,stage3_fresh,,,18,99,227.91273,49.3664,f89c712898af46fc4ae02ef95f00db01ea9f31e5ed6b4548f6e55c1d628189d8
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0000_baseline,sau_cfcc_pin_3,sau_cfcc_reproduction_sweep_20260818_v1,,,18,99,227.91273,49.3664,fbec15b241ba0af0e392e78dfdf31138e0e28257fffed3c309315238a10693b9
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0001_cap0_mstep,sau_cfcc_pin_3,sau_cfcc_reproduction_sweep_20260818_v1,,,18,99,227.91273,49.3664,eca9c90dc655c090028da2dad492651976e72f5fecf335bb4c44e4556045f52c
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0002_gm1_pmos_w_pstep,sau_cfcc_pin_3,sau_cfcc_reproduction_sweep_20260818_v1,,,18,99,227.93797,49.3664,7cc1b3da318f7fcea38c12bd1aed828a6a8c51c1e18427476e00cbc68c41575b
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0004_cap0_pstep,sau_cfcc_pin_3,sau_cfcc_reproduction_sweep_20260818_v1,,,18,99,227.91273,49.3664,6531762c0980a01bd155228ca0337dd605bb9ad44342587fd1783f727ab83e2a
smcnr_se_2st_amp:cand_0001,smcnr_se_2st_amp,stage2_fixed_gds,,,9,34,432.73855,137.14,e38cf4816260c3a15217ea72a95066a07bb2e938abfa471c87522006da1a6d50
smcnr_se_2st_amp:smcnr_sizing_probe_0001,smcnr_se_2st_amp,smcnr_sizing_probe_20260817,,,9,33,764.45058,545.61,ec6de1ddc83f5f498dc55db684546eebc39c70c2e2917cc91fc6bbbadcefb4a3
smcnr_se_2st_amp:smcnr_sizing_probe_0002,smcnr_se_2st_amp,smcnr_sizing_probe_20260817,,,9,32,764.49118,545.64,c7cf9cae1dc65a6253b546440897ecce0ec798ab9f929401d792b9f711c52053
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0000_baseline,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,33,764.45058,545.61,0d87db927e13e4a475167d8586ffd840af7ebf4076d7c32c8b5affe70536583c
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0001_diff_pair_w_m5pct,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,33,763.42667,545.61,4f27671e28ebb97ed770c5d090b34b5b405a8e702a06f7b68f5ebf7ab01808ab
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0002_diff_pair_w_p5pct,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,33,765.46556,545.61,d4179de53ad404ffb48ab1010696031f2ecfa8a660eb4ed3c584ea010bb047e0
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0003_load_nmos_w_mstep,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,33,764.47736,545.64,ab80e695bbf45208b247ac61032352b20edb0b7be9b2cc767edf17a7dc04f23e
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0004_load_nmos_w_pstep,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,32,764.49436,545.64,510ff6cb2e2e2bec2aa98a3a9d29bf794bf57c67c37a3ba923a150820cbe7b7c
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0005_second_stage_pmos_w_p5pct,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,33,764.57809,545.61,6810c416a3ea11512a688cbda3525e1584c631daaa88489f32efd5809bfe4475
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0006_second_stage_pmos_w_p10pct,smcnr_se_2st_amp,smcnr_sizing_sweep_20260817_v1,,,9,33,764.70333,545.61,2390e49918f014ed621affd702f05bb2d044e31a3b92afe2ed32fb5aacaa7635
