graph_id,design_id,candidate_id,source_family,num_nodes,num_edges,total_cap_ff
alfio_raffc_pin_3:cand_0001,alfio_raffc_pin_3,cand_0001,stage3_fresh,18,130,99.32308
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0000_baseline,alfio_raffc_pin_3,alfio_repro_sweep_0000_baseline,alfio_raffc_reproduction_sweep_20260818_v1,18,130,99.32308
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0001_gm1_pmos_w_pstep,alfio_raffc_pin_3,alfio_repro_sweep_0001_gm1_pmos_w_pstep,alfio_raffc_reproduction_sweep_20260818_v1,18,130,99.45836
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0002_gm2_pmos_w_pstep,alfio_raffc_pin_3,alfio_repro_sweep_0002_gm2_pmos_w_pstep,alfio_raffc_reproduction_sweep_20260818_v1,18,126,99.23916
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0003_gmb_nmos_w_pstep,alfio_raffc_pin_3,alfio_repro_sweep_0003_gmb_nmos_w_pstep,alfio_raffc_reproduction_sweep_20260818_v1,18,128,103.41121
fan_smc_pin_3:cand_0008,fan_smc_pin_3,cand_0008,stage2_fixed_gds,18,115,520.84706
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0000_baseline,fan_smc_pin_3,fan_repro_sweep_0000_baseline,fan_smc_reproduction_sweep_20260817_v1,18,115,520.84706
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0001_input_pair_w_mstep,fan_smc_pin_3,fan_repro_sweep_0001_input_pair_w_mstep,fan_smc_reproduction_sweep_20260817_v1,18,115,520.80192
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0002_input_pair_w_pstep,fan_smc_pin_3,fan_repro_sweep_0002_input_pair_w_pstep,fan_smc_reproduction_sweep_20260817_v1,18,121,532.59027
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0003_load2_nmos_w_pstep,fan_smc_pin_3,fan_repro_sweep_0003_load2_nmos_w_pstep,fan_smc_reproduction_sweep_20260817_v1,18,115,520.83408
grpo_admission_20260821_analoggym_contract_v1/grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0001,grpo_admission_20260821_analoggym_contract_v1,19,131,1557.8
grpo_admission_20260821_analoggym_contract_v1/grpo_leung_dfcfc2_0006,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0006,grpo_admission_20260821_analoggym_contract_v1,19,151,5698.66
grpo_to_pcs_admission_smoke_v1/grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0000,grpo_to_pcs_admission_smoke_v1,19,134,3999.37
grpo_to_pcs_admission_smoke_v1/grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0001,grpo_to_pcs_admission_smoke_v1,19,127,3169.88
hoilee_affc_pin_3:cand_0001,hoilee_affc_pin_3,cand_0001,stage3_fresh,21,156,272.48469
leung_dfcfc1_pin_3:cand_0001,leung_dfcfc1_pin_3,cand_0001,stage3_fresh,19,142,1351.17155
leung_dfcfc2_pin_3:cand_0001,leung_dfcfc2_pin_3,cand_0001,stage3_fresh,19,106,513.11719
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822,19,131,1762.34211
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0008,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0008,leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822,19,112,5781.05423
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822,19,129,3656.83521
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0002,leung_dfcfc2_pin_3,grpo_leung_dfcfc2_0002,leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822,19,118,2001.61333
