graph_id,design_id,edge_positive_count,edge_power_count,edge_zero_count,node_degree_max,node_degree_mean,num_edges,num_nodes,output_like_node_count,power_node_count,cap_count,total_cap_ff,output_node_cap_ff
alfio_raffc_pin_3:cand_0001,alfio_raffc_pin_3,111.0,33.0,19.0,17.0,14.444444444444445,130.0,18.0,2.0,2.0,130.0,99.32308,0.80601
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0000_baseline,alfio_raffc_pin_3,111.0,33.0,19.0,17.0,14.444444444444445,130.0,18.0,2.0,2.0,130.0,99.32308,11.83896
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0001_gm1_pmos_w_pstep,alfio_raffc_pin_3,111.0,33.0,19.0,17.0,14.444444444444445,130.0,18.0,2.0,2.0,130.0,99.45836,11.844560000000003
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0002_gm2_pmos_w_pstep,alfio_raffc_pin_3,116.0,33.0,10.0,17.0,14.0,126.0,18.0,2.0,2.0,126.0,99.23916,11.64657
alfio_raffc_reproduction_sweep_20260818_v1/alfio_repro_sweep_0003_gmb_nmos_w_pstep,alfio_raffc_pin_3,110.0,33.0,18.0,17.0,14.222222222222221,128.0,18.0,2.0,2.0,128.0,103.41121,11.84383
fan_smc_pin_3:cand_0008,fan_smc_pin_3,107.0,33.0,8.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,520.84706,11.9045
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0000_baseline,fan_smc_pin_3,107.0,33.0,8.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,520.84706,40.15012
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0001_input_pair_w_mstep,fan_smc_pin_3,107.0,33.0,8.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,520.80192,40.15012
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0002_input_pair_w_pstep,fan_smc_pin_3,109.0,33.0,12.0,17.0,13.444444444444445,121.0,18.0,2.0,2.0,121.0,532.59027,40.50775
fan_smc_reproduction_sweep_20260817_v1/fan_repro_sweep_0003_load2_nmos_w_pstep,fan_smc_pin_3,107.0,33.0,8.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,520.83408,40.15012
grpo_admission_20260821_analoggym_contract_v1/grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,123.0,33.0,8.0,18.0,13.789473684210526,131.0,19.0,2.0,2.0,131.0,1557.8,0.0
grpo_admission_20260821_analoggym_contract_v1/grpo_leung_dfcfc2_0006,leung_dfcfc2_pin_3,136.0,35.0,15.0,18.0,15.894736842105264,151.0,19.0,2.0,2.0,151.0,5698.66,0.0
grpo_to_pcs_admission_smoke_v1/grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,129.0,34.0,5.0,18.0,14.105263157894736,134.0,19.0,2.0,2.0,134.0,3999.37,0.0
grpo_to_pcs_admission_smoke_v1/grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,112.0,35.0,15.0,18.0,13.368421052631579,127.0,19.0,2.0,2.0,127.0,3169.88,0.0
hoilee_affc_pin_3:cand_0001,hoilee_affc_pin_3,131.0,39.0,25.0,20.0,14.857142857142858,156.0,21.0,2.0,2.0,156.0,272.48469,2.15939
leung_dfcfc1_pin_3:cand_0001,leung_dfcfc1_pin_3,121.0,35.0,21.0,18.0,14.947368421052632,142.0,19.0,2.0,2.0,142.0,1351.17155,173.143
leung_dfcfc2_pin_3:cand_0001,leung_dfcfc2_pin_3,101.0,34.0,5.0,18.0,11.157894736842104,106.0,19.0,2.0,2.0,106.0,513.11719,5.7062
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,117.0,34.0,14.0,18.0,13.789473684210526,131.0,19.0,2.0,2.0,131.0,1762.34211,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0008,leung_dfcfc2_pin_3,109.0,34.0,3.0,18.0,11.789473684210526,112.0,19.0,2.0,2.0,112.0,5781.05423,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,117.0,34.0,12.0,18.0,13.578947368421053,129.0,19.0,2.0,2.0,129.0,3656.83521,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0002,leung_dfcfc2_pin_3,113.0,34.0,5.0,18.0,12.421052631578947,118.0,19.0,2.0,2.0,118.0,2001.61333,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0005,leung_dfcfc2_pin_3,126.0,35.0,9.0,18.0,14.210526315789474,135.0,19.0,2.0,2.0,135.0,3351.97493,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0010,leung_dfcfc2_pin_3,123.0,35.0,6.0,18.0,13.578947368421053,129.0,19.0,2.0,2.0,129.0,2365.25273,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,103.0,35.0,9.0,18.0,11.789473684210526,112.0,19.0,2.0,2.0,112.0,1991.44623,0.0
leung_nmcf_pin_3:cand_0002,leung_nmcf_pin_3,106.0,33.0,9.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,232.13717,2.08856
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0000_baseline,leung_nmcf_pin_3,106.0,33.0,9.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,232.13717,10.30153
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0001_input_pair_w_mstep,leung_nmcf_pin_3,106.0,33.0,9.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,232.11217,10.30157
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0002_input_pair_w_pstep,leung_nmcf_pin_3,104.0,33.0,12.0,17.0,12.88888888888889,116.0,18.0,2.0,2.0,116.0,216.91159,11.47249
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0003_load2_nmos_w_pstep,leung_nmcf_pin_3,106.0,33.0,9.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,232.13655,10.30153
leung_nmcnr_pin_3:cand_0001,leung_nmcnr_pin_3,106.0,33.0,12.0,17.0,13.11111111111111,118.0,18.0,2.0,2.0,118.0,274.77841,9.95174
peng_acbc_pin_3:cand_0001,peng_acbc_pin_3,112.0,35.0,15.0,18.0,13.368421052631579,127.0,19.0,2.0,2.0,127.0,251.96947,2.68355
qu2017_azc_pin_3:cand_0001,qu2017_azc_pin_3,101.0,39.0,23.0,20.0,11.80952380952381,124.0,21.0,2.0,2.0,124.0,162.41758,1.67224
ramos_pfc_pin_3:cand_0001,ramos_pfc_pin_3,101.0,33.0,13.0,17.0,12.666666666666666,114.0,18.0,2.0,2.0,114.0,1758.0844,114.514
sau_cfcc_pin_3:cand_0001,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.91273,2.41469
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0000_baseline,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0001_cap0_mstep,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0002_gm1_pmos_w_pstep,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.93797,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0004_cap0_pstep,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
smcnr_se_2st_amp:cand_0001,smcnr_se_2st_amp,32.0,15.0,2.0,8.0,7.555555555555555,34.0,9.0,3.0,2.0,34.0,432.73855,172.429
smcnr_se_2st_amp:smcnr_sizing_probe_0001,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,764.45058,645.62162
smcnr_se_2st_amp:smcnr_sizing_probe_0002,smcnr_se_2st_amp,30.0,15.0,2.0,8.0,7.111111111111111,32.0,9.0,3.0,2.0,32.0,764.49118,645.71923
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0000_baseline,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,764.45058,645.62162
