feature_profile,model,target,mae,max_abs_error,sample_count,feature_count,excluded_feature_count,metrics_path
no_total_cap_leakage,mean_baseline,cap_count,37.50248015873016,63.85714285714286,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
no_total_cap_leakage,mean_baseline,output_node_cap_ff,257.9733950892857,458.86072523809526,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
no_total_cap_leakage,mean_baseline,total_cap_ff,907.8458756746032,4770.044339682539,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,cap_count,3.234375,32.0,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,output_node_cap_ff,18.33732578125001,473.11652000000004,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,total_cap_ff,184.35285781250002,2041.8247899999997,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,cap_count,0.6987392411502347,4.810708246299981,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,output_node_cap_ff,33.29379565490711,447.12790772038636,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,total_cap_ff,93.131319283572,830.7966435731306,64,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/no_total_cap_leakage/metrics.json
structure_only,mean_baseline,cap_count,37.50248015873016,63.85714285714286,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
structure_only,mean_baseline,output_node_cap_ff,257.9733950892857,458.86072523809526,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
structure_only,mean_baseline,total_cap_ff,907.8458756746032,4770.044339682539,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
structure_only,nearest_neighbor,cap_count,2.03125,21.0,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
structure_only,nearest_neighbor,output_node_cap_ff,19.406774375000005,473.19262000000003,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
structure_only,nearest_neighbor,total_cap_ff,694.7634946874999,5564.37941,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
structure_only,ridge_regression,cap_count,0.69759710628467,3.682405877525156,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
structure_only,ridge_regression,output_node_cap_ff,32.62919132217845,466.82554233456756,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
structure_only,ridge_regression,total_cap_ff,684.167144071511,4187.853644261636,64,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/structure_only/metrics.json
leaky_smoke_test,mean_baseline,cap_count,37.50248015873016,63.85714285714286,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
leaky_smoke_test,mean_baseline,output_node_cap_ff,257.9733950892857,458.86072523809526,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
leaky_smoke_test,mean_baseline,total_cap_ff,907.8458756746032,4770.044339682539,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
leaky_smoke_test,nearest_neighbor,cap_count,4.65625,39.0,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
leaky_smoke_test,nearest_neighbor,output_node_cap_ff,20.41230843750001,473.11652000000004,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
leaky_smoke_test,nearest_neighbor,total_cap_ff,85.98048953125002,486.9552100000001,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
leaky_smoke_test,ridge_regression,cap_count,0.7619442152520784,5.38866312031837,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
leaky_smoke_test,ridge_regression,output_node_cap_ff,31.498018059538797,438.77276365165915,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
leaky_smoke_test,ridge_regression,total_cap_ff,31.875506771764087,362.6853201533509,64,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/baseline_eval_20260822_dataset_v5/leaky_smoke_test/metrics.json
