feature_profile,model,target,mae,max_abs_error,sample_count,feature_count,excluded_feature_count,metrics_path
no_total_cap_leakage,mean_baseline,cap_count,41.81224489795918,70.81632653061224,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
no_total_cap_leakage,mean_baseline,output_node_cap_ff,291.75030631836734,405.45119244897955,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
no_total_cap_leakage,mean_baseline,total_cap_ff,415.31069822040814,5167.949077755102,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,cap_count,3.24,32.0,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,output_node_cap_ff,22.115236600000006,473.11652000000004,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,total_cap_ff,150.3340192,4140.86,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,cap_count,1.0547077499097681,11.245125359057567,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,output_node_cap_ff,62.384990150918064,1654.0216915994386,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,total_cap_ff,117.32894406016516,1648.869646221834,50,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/no_total_cap_leakage/metrics.json
structure_only,mean_baseline,cap_count,41.81224489795918,70.81632653061224,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
structure_only,mean_baseline,output_node_cap_ff,291.75030631836734,405.45119244897955,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
structure_only,mean_baseline,total_cap_ff,415.31069822040814,5167.949077755102,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
structure_only,nearest_neighbor,cap_count,2.14,21.0,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
structure_only,nearest_neighbor,output_node_cap_ff,28.98887480000001,473.19262000000003,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
structure_only,nearest_neighbor,total_cap_ff,282.64040559999995,5564.37941,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
structure_only,ridge_regression,cap_count,0.7889470932544888,4.530471435053585,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
structure_only,ridge_regression,output_node_cap_ff,39.33757214322211,465.8266659811118,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
structure_only,ridge_regression,total_cap_ff,399.463369958871,5134.116909025572,50,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/structure_only/metrics.json
leaky_smoke_test,mean_baseline,cap_count,41.81224489795918,70.81632653061224,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
leaky_smoke_test,mean_baseline,output_node_cap_ff,291.75030631836734,405.45119244897955,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
leaky_smoke_test,mean_baseline,total_cap_ff,415.31069822040814,5167.949077755102,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
leaky_smoke_test,nearest_neighbor,cap_count,4.08,37.0,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
leaky_smoke_test,nearest_neighbor,output_node_cap_ff,23.19484480000001,473.11652000000004,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
leaky_smoke_test,nearest_neighbor,total_cap_ff,116.1738346,3940.5756,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
leaky_smoke_test,ridge_regression,cap_count,1.312815117046351,20.14817151599982,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
leaky_smoke_test,ridge_regression,output_node_cap_ff,50.82689772751512,1367.828992009272,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
leaky_smoke_test,ridge_regression,total_cap_ff,22.889919847112154,288.09840396963,50,17,0,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_50graphs_grpo_extended_20260821_v1/leaky_smoke_test/metrics.json
