sample_uid,batch_id,candidate_id,label_graph_training_admitted,label_raw_pex_available,label_physical_closure_failed_no_raw_pex,admission_status,action_norm_00,action_norm_01,action_norm_02,action_norm_03,action_norm_04,action_norm_05,action_norm_06,action_norm_07,action_norm_08,action_norm_09,action_norm_10,action_norm_11,action_norm_12,action_norm_13,action_norm_14,action_norm_15,action_norm_16,action_norm_17,action_norm_18,action_norm_19,action_norm_20,action_norm_21,action_norm_22,action_norm_23,action_norm_24,action_norm_25,action_norm_26,bias_current_sum,mos_aspect_times_m_sum,mos_device_count,mos_gate_area_proxy_sum,mos_l_all_count,mos_l_all_max,mos_l_all_mean,mos_l_all_min,mos_l_all_sum,mos_m_all_count,mos_m_all_max,mos_m_all_mean,mos_m_all_min,mos_m_all_sum,mos_w_all_count,mos_w_all_max,mos_w_all_mean,mos_w_all_min,mos_w_all_sum,mos_width_times_m_sum,nmos_l_count,nmos_l_max,nmos_l_mean,nmos_l_min,nmos_l_sum,nmos_m_count,nmos_m_max,nmos_m_mean,nmos_m_min,nmos_m_sum,nmos_w_count,nmos_w_max,nmos_w_mean,nmos_w_min,nmos_w_sum,pmos_l_count,pmos_l_max,pmos_l_mean,pmos_l_min,pmos_l_sum,pmos_m_count,pmos_m_max,pmos_m_mean,pmos_m_min,pmos_m_sum,pmos_to_nmos_m_ratio,pmos_w_count,pmos_w_max,pmos_w_mean,pmos_w_min,pmos_w_sum,record__m12_m,requested_cap_sum,selection_bucket__boundary_m12_388_397,selection_bucket__diagnostic_neighborhood_m12_335_365,selection_bucket__l6_neighborhood_m12_330_390,selection_bucket__none,sizing__capacitor_0,sizing__capacitor_1,sizing__current_0_bias,sizing__mosfet_0_8_l_biascm_pmos,sizing__mosfet_0_8_m_biascm_pmos,sizing__mosfet_0_8_w_biascm_pmos,sizing__mosfet_10_1_l_gm4_pmos,sizing__mosfet_10_1_m_gm4_pmos,sizing__mosfet_10_1_w_gm4_pmos,sizing__mosfet_11_1_l_gm2_pmos,sizing__mosfet_11_1_m_gm2_pmos,sizing__mosfet_11_1_w_gm2_pmos,sizing__mosfet_12_1_l_gmf2_pmos,sizing__mosfet_12_1_m_gmf2_pmos,sizing__mosfet_12_1_w_gmf2_pmos,sizing__mosfet_18_7_l_biascm_nmos,sizing__mosfet_18_7_m_biascm_nmos,sizing__mosfet_18_7_w_biascm_nmos,sizing__mosfet_23_2_l_load2_nmos,sizing__mosfet_23_2_m_load2_nmos,sizing__mosfet_23_2_w_load2_nmos,sizing__mosfet_25_1_l_gm3_nmos,sizing__mosfet_25_1_m_gm3_nmos,sizing__mosfet_25_1_w_gm3_nmos,sizing__mosfet_8_2_l_gm1_pmos,sizing__mosfet_8_2_m_gm1_pmos,sizing__mosfet_8_2_w_gm1_pmos
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0000,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0000,1,1,0,admitted_raw_pex_graph,-0.16287533938884735,-0.7387374043464661,0.2482004314661026,0.14579999446868896,-0.23452581465244293,-0.41319340467453003,1.0,-0.24782931804656982,-0.45956894755363464,0.06071159243583679,1.0,-0.13814802467823029,-0.15442503988742828,-1.0,0.4446965456008911,-0.35798436403274536,-0.037765562534332275,-0.9405655860900879,0.2627125084400177,1.0,-0.32460495829582214,-0.38671427965164185,-1.0,1.0,0.340515673160553,0.2743663787841797,-1.0,20.437477260828,4125.96531986532,8.0,2830.25,8.0,5.0,2.4,0.5,19.2,8.0,389.0,67.75,2.0,542.0,8.0,10.0,5.475,3.4000000000000004,43.8,2538.0,3.0,5.0,2.733333333333333,0.5,8.2,3.0,50.0,23.333333333333332,2.0,70.0,3.0,6.5,4.466666666666667,3.4000000000000004,13.4,5.0,5.0,2.2,0.5,11.0,5.0,389.0,94.4,14.0,472.0,6.742857142857143,5.0,10.0,6.08,4.5,30.4,389.0,20.0,0.0,0.0,0.0,1.0,19.0,1.0,20.437477260828,1.1,32.0,4.5,2.2,14.0,10.0,5.0,22.0,5.5,0.5,389.0,4.5,2.7,2.0,3.5,5.0,18.0,6.5,0.5,50.0,3.4000000000000004,2.2,15.0,5.9
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0001,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0001,0,0,1,physical_closure_failed,0.16165897250175476,-1.0,-1.0,-0.7882125377655029,-0.2780590057373047,-0.9144357442855835,1.0,-0.31935548782348633,-0.3213445544242859,-0.40216344594955444,0.8988829851150513,0.0056990087032318115,-0.15905345976352692,1.0,0.7099002599716187,1.0,-0.452985554933548,-1.0,0.5431578755378723,0.6024595499038696,1.0,0.7571187019348145,-0.8890376687049866,-0.6245064735412598,1.0,1.0,-1.0,30.0,746.5364470178315,8.0,12406.890000000001,8.0,5.0,2.6125,0.5,20.9,8.0,442.0,68.875,1.0,551.0,8.0,10.0,6.4875,1.5,51.9,2753.3,3.0,4.1,2.1666666666666665,0.7,6.5,3.0,50.0,20.333333333333332,1.0,61.0,3.0,10.0,8.866666666666667,7.800000000000001,26.6,5.0,5.0,2.88,0.5,14.4,5.0,442.0,98.0,1.0,490.0,8.032786885245901,5.0,10.0,5.0600000000000005,1.5,25.3,442.0,31.0,0.0,0.0,0.0,1.0,30.0,1.0,30.0,0.5,1.0,6.0,2.0,18.0,10.0,4.8,26.0,3.3000000000000003,5.0,442.0,4.5,1.7000000000000002,1.0,10.0,4.1,50.0,7.800000000000001,0.7,10.0,8.8,2.1,3.0,1.5
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0002,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0002,0,0,1,physical_closure_failed,0.11027242243289948,-1.0,-0.5329626202583313,-1.0,-0.02800920605659485,-0.5368810296058655,1.0,-0.43952977657318115,-0.07139421254396439,-1.0,1.0,-0.06003984808921814,-0.3161817491054535,-1.0,0.46447861194610596,0.10215476155281067,-0.6231280565261841,0.5476267337799072,0.78095543384552,-0.19564425945281982,1.0,0.6020359396934509,-0.8591867685317993,0.32014963030815125,-0.015774071216583252,0.5228148698806763,-1.0,15.27127596736,3886.1327294685993,8.0,2807.88,8.0,5.0,1.8625,0.5,14.9,8.0,393.0,73.375,12.0,587.0,8.0,10.0,5.4125000000000005,0.5,43.300000000000004,2721.3,3.0,2.3,1.4666666666666668,0.8,4.4,3.0,50.0,40.666666666666664,33.0,122.0,3.0,9.0,7.6000000000000005,5.7,22.8,5.0,5.0,2.1,0.5,10.5,5.0,393.0,93.0,12.0,465.0,3.8114754098360657,5.0,10.0,4.1,0.5,20.5,393.0,24.0,0.0,0.0,0.0,1.0,23.0,1.0,15.27127596736,0.5,12.0,5.800000000000001,1.8,24.0,10.0,5.0,24.0,0.5,0.5,393.0,3.7,1.3,39.0,5.7,2.3,50.0,9.0,0.8,33.0,8.100000000000001,2.7,12.0,0.5
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0003,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0003,0,0,1,physical_closure_failed,0.01148359477519989,-1.0,0.49408644437789917,1.0,0.46205973625183105,-0.4853246808052063,1.0,-0.8420242071151733,0.8008911609649658,-1.0,0.43512120842933655,-0.42323991656303406,-0.1520007699728012,-1.0,0.7209949493408203,0.11570288240909576,-0.31985563039779663,0.42323172092437744,-0.29669898748397827,1.0,1.0,-0.007613927125930786,0.33190202713012695,-0.7289146780967712,-1.0,-0.9833356142044067,0.48046138882637024,1.0,5091.954846575898,8.0,3577.65,8.0,5.0,2.4875000000000003,0.5,19.900000000000002,8.0,444.0,81.25,8.0,650.0,8.0,10.0,5.6375,0.5,45.1,3237.3,3.0,5.0,3.5,2.0,10.5,3.0,50.0,31.333333333333332,8.0,94.0,3.0,5.800000000000001,4.933333333333334,3.8000000000000003,14.8,5.0,3.8000000000000003,1.8800000000000001,0.5,9.4,5.0,444.0,111.2,14.0,556.0,5.914893617021277,5.0,10.0,6.0600000000000005,0.5,30.3,444.0,23.0,0.0,0.0,0.0,1.0,1.0,22.0,1.0,0.5,38.0,5.300000000000001,0.9,45.0,10.0,3.7,15.0,0.5,0.5,444.0,4.5,2.0,36.0,5.800000000000001,5.0,50.0,3.8000000000000003,3.5,8.0,5.2,3.8000000000000003,14.0,10.0
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0004,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0004,0,0,1,physical_closure_failed,0.07488896697759628,-1.0,-1.0,1.0,-0.7040342092514038,0.7737795114517212,-1.0,-0.0977182686328888,0.34637922048568726,-1.0,-1.0,-0.17939171195030212,-0.5042421817779541,-1.0,0.6858878135681152,1.0,-0.2833338975906372,-0.6953464150428772,-0.39305469393730164,1.0,1.0,-0.4820415675640106,0.1954641342163086,0.29877394437789917,-0.0134238600730896,0.4383386969566345,-1.0,15.30535402894,3043.299404761905,8.0,2547.0,8.0,5.0,1.9375,0.5,15.5,8.0,437.0,78.5,1.0,628.0,8.0,10.0,4.4875,0.5,35.9,2089.4,3.0,5.0,3.4333333333333336,2.1,10.3,3.0,50.0,30.333333333333332,8.0,91.0,3.0,10.0,5.466666666666666,3.0,16.4,5.0,2.5,1.04,0.5,5.2,5.0,437.0,107.4,1.0,537.0,5.9010989010989015,5.0,10.0,3.9,0.5,19.5,437.0,23.0,0.0,0.0,0.0,1.0,22.0,1.0,15.30535402894,0.5,1.0,5.6000000000000005,2.5,34.0,0.5,0.5,21.0,0.5,0.5,437.0,2.9000000000000004,2.1,8.0,10.0,5.0,50.0,3.4000000000000004,3.2,33.0,3.0,1.2000000000000002,44.0,10.0
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0005,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0005,0,1,0,raw_pex_available_not_l6,-0.04522837698459625,-1.0,0.1385965347290039,-1.0,-0.0828714370727539,1.0,-1.0,0.6617858409881592,0.3066249191761017,-0.8230764269828796,-1.0,-1.0,-0.1704128384590149,0.15440985560417175,0.1929519772529602,-0.7294773459434509,-0.5315706729888916,-1.0,0.44893699884414673,1.0,0.7908282279968262,-0.3554185628890991,-0.993960440158844,-1.0,1.0,-1.0,-0.02461320161819458,30.0,862.2302463665369,8.0,6501.090000000001,8.0,5.0,2.25,0.5,18.0,8.0,339.0,62.375,1.0,499.0,8.0,7.4,3.0625,0.5,24.5,2017.8,3.0,5.0,2.3666666666666667,0.5,7.1,3.0,45.0,15.666666666666666,1.0,47.0,3.0,7.4,4.266666666666667,1.8,12.8,5.0,4.2,2.18,0.5,10.9,5.0,339.0,90.4,1.0,452.0,9.617021276595745,5.0,5.0,2.3400000000000003,0.5,11.700000000000001,339.0,16.0,0.0,0.0,0.0,1.0,1.0,15.0,30.0,0.5,29.0,5.0,4.2,33.0,0.5,0.5,1.0,1.3,3.1,339.0,4.4,1.6,1.0,1.8,5.0,45.0,7.4,0.5,1.0,3.6,2.6,50.0,0.5
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0006,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0006,0,1,0,raw_pex_available_not_l6,0.007997997105121613,0.1798715591430664,0.8900783061981201,1.0,0.8073140382766724,1.0,-1.0,0.11897942423820496,-0.8339146375656128,-0.18491730093955994,-1.0,0.3651588559150696,0.3263874351978302,-1.0,0.2494385689496994,-0.6020492315292358,-0.11159521341323853,-1.0,-0.5082701444625854,-0.07193994522094727,1.0,-1.0,-1.0,-0.94072026014328,0.025822699069976807,1.0,0.6345895528793335,15.874429136515,5303.378889353402,8.0,4739.920000000001,8.0,4.6000000000000005,2.1750000000000003,0.5,17.400000000000002,8.0,350.0,67.375,1.0,539.0,8.0,10.0,4.0875,0.5,32.7,3424.600000000001,3.0,2.6,1.8666666666666665,0.5,5.6,3.0,50.0,17.666666666666668,1.0,53.0,3.0,2.8000000000000003,1.9000000000000004,0.5,5.700000000000001,5.0,4.6000000000000005,2.3600000000000003,0.5,11.8,5.0,350.0,97.2,5.0,486.0,9.169811320754716,5.0,10.0,5.4,0.5,27.0,350.0,55.0,0.0,0.0,0.0,1.0,30.0,25.0,15.874429136515,3.2,47.0,5.300000000000001,3.0,5.0,0.5,0.5,34.0,4.4,0.5,350.0,6.800000000000001,2.5,1.0,2.4000000000000004,2.6,50.0,2.8000000000000003,0.5,2.0,0.5,4.6000000000000005,50.0,10.0
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0007,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0007,0,0,1,physical_closure_failed,-0.17921613156795502,-1.0,-0.6157340407371521,1.0,0.6760390996932983,0.5952366590499878,-0.7447429895401001,-0.3633921146392822,-1.0,-1.0,0.5875875949859619,-0.8196491599082947,-0.10208180546760559,1.0,0.7427340745925903,-1.0,-0.4584982991218567,-0.18992412090301514,0.8994543552398682,0.2838783264160156,1.0,-0.29758766293525696,-1.0,-0.034394171088933945,-0.8693429231643677,0.9066414833068848,-0.35860106348991394,2.894527614117,949.4501016947961,8.0,14211.83,8.0,5.0,2.6750000000000003,0.5,21.400000000000002,8.0,449.0,75.125,1.0,601.0,8.0,10.0,4.4,0.5,35.2,3183.8999999999996,3.0,3.4000000000000004,1.866666666666667,0.5,5.6000000000000005,3.0,50.0,32.0,21.0,96.0,3.0,9.5,4.6000000000000005,0.5,13.8,5.0,5.0,3.16,0.5,15.8,5.0,449.0,101.0,1.0,505.0,5.260416666666667,5.0,10.0,4.279999999999999,0.5,21.4,449.0,39.0,0.0,0.0,0.0,1.0,29.0,10.0,2.894527614117,0.5,10.0,4.4,1.9000000000000001,1.0,1.7000000000000002,4.1,5.0,0.5,5.0,449.0,4.8,1.7000000000000002,21.0,0.5,3.4000000000000004,50.0,9.5,0.5,25.0,3.8000000000000003,4.300000000000001,40.0,10.0
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0008,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0008,1,1,0,admitted_raw_pex_graph,0.14096111059188843,0.5593460202217102,-0.5280618667602539,1.0,0.5790455341339111,0.6710692644119263,-1.0,0.0862584263086319,0.7224023342132568,-0.646532416343689,-1.0,-0.3646070957183838,0.07180564105510712,1.0,0.3339577317237854,0.08521754294633865,-0.2570027709007263,-0.5159355998039246,-0.45993509888648987,1.0,0.832666277885437,-0.478903591632843,-0.6363069415092468,0.17737528681755066,-1.0,1.0,0.29223868250846863,1.0,746.3004049062795,8.0,13378.870000000003,8.0,5.0,3.125,0.5,25.0,8.0,367.0,71.375,13.0,571.0,8.0,10.0,4.5,0.5,36.0,2917.5,3.0,5.0,2.8333333333333335,1.3,8.5,3.0,46.0,29.666666666666668,13.0,89.0,3.0,5.7,3.9333333333333336,3.0,11.8,5.0,5.0,3.3,0.5,16.5,5.0,367.0,96.4,13.0,482.0,5.415730337078652,5.0,10.0,4.840000000000001,0.5,24.200000000000003,367.0,50.0,0.0,0.0,0.0,1.0,30.0,20.0,1.0,4.0,13.0,5.9,2.9000000000000004,43.0,0.5,0.5,17.0,2.2,5.0,367.0,5.6000000000000005,2.2,13.0,5.7,5.0,46.0,3.1,1.3,30.0,3.0,4.1,42.0,10.0
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0009,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0009,0,0,1,physical_closure_failed,0.21439562737941742,0.21196556091308594,1.0,-0.12134483456611633,-0.42188841104507446,1.0,-1.0,-0.6309171915054321,-1.0,-0.3369539976119995,-1.0,-0.14614424109458923,-0.6097935438156128,-1.0,0.25955796241760254,0.27656152844429016,-0.38586732745170593,-0.44603732228279114,0.613197922706604,0.9029678106307983,-0.037288159132003784,-0.9573716521263123,-0.09760728478431702,-0.24595266580581665,-1.0,0.18301120400428772,-0.9121345281600952,1.0,2177.511267431399,8.0,3099.0,8.0,4.8,2.0625,0.5,16.5,8.0,352.0,66.75,1.0,534.0,8.0,8.2,4.125,0.5,33.0,1791.8000000000002,3.0,4.8,3.0666666666666664,1.9000000000000001,9.2,3.0,25.0,19.666666666666668,15.0,59.0,3.0,8.2,5.166666666666667,0.7,15.5,5.0,3.2,1.4600000000000002,0.5,7.300000000000001,5.0,352.0,95.0,1.0,475.0,8.05084745762712,5.0,6.300000000000001,3.5,0.5,17.5,352.0,20.0,0.0,0.0,0.0,1.0,18.0,2.0,1.0,3.2,50.0,6.300000000000001,1.3,1.0,0.5,0.5,22.0,3.6,0.5,352.0,2.4000000000000004,1.9000000000000001,15.0,6.6000000000000005,4.8,25.0,8.2,2.5,19.0,0.7,1.8,50.0,4.7
