sample_uid,batch_id,candidate_id,admission_status,graph_training_admitted,raw_pex_available,physical_closure_failed_no_raw_pex,best_closure_level,failure_stage
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0000,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0000,admitted_raw_pex_graph,1,1,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0001,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0001,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0002,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0002,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0003,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0003,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0004,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0004,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0005,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0005,raw_pex_available_not_l6,0,1,0,L2_pre_layout_pvt,connectivity_lvs
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0006,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0006,raw_pex_available_not_l6,0,1,0,L2_pre_layout_pvt,connectivity_lvs
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0007,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0007,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0008,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0008,admitted_raw_pex_graph,1,1,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0009,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0009,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0010,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0010,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0011,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0011,admitted_raw_pex_graph,1,1,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0000,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0000,raw_pex_available_not_l6,0,1,0,L2_pre_layout_pvt,post_layout_or_lvs_not_l6
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0001,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0001,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0002,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0002,admitted_raw_pex_graph,1,1,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0003,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0003,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0004,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0004,raw_pex_available_not_l6,0,1,0,L2_pre_layout_pvt,post_layout_or_lvs_not_l6
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0005,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0005,admitted_raw_pex_graph,1,1,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0006,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0006,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0007,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0007,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0008,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0008,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0009,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0009,physical_closure_failed,0,0,1,L2_pre_layout_pvt,magical_place_route
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0010,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0010,admitted_raw_pex_graph,1,1,0,L6_post_layout_pvt,
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0011,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0011,admitted_raw_pex_graph,1,1,0,L6_post_layout_pvt,
