sample_uid,batch_id,candidate_id,design_id,admission_status,best_closure_level,failure_stage,graph_training_admitted,raw_pex_available,physical_closure_failed_no_raw_pex,simulation_timeout_or_hang,m12_m,pex_cap_count,pex_total_cap_ff,raw_spice_sha256,source_state_path,source_state_resolved
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0000,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,389.0,131,1762.34211,319f68880e9a25da093e4a712a6150b14bb2c04e238ec7274b3dbba4005946ad,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0000.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0000.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0001,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,442.0,,,,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0001.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0001.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0002,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0002,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,393.0,,,,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0002.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0002.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0003,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0003,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,444.0,,,,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0003.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0003.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0004,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0004,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,437.0,,,,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0004.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0004.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0005,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0005,leung_dfcfc2_pin_3,raw_pex_available_not_l6,L2_pre_layout_pvt,connectivity_lvs,0,1,0,0,339.0,119,2631.76498,da871aedfd3e6be04a7c84f7bab5306b20882cc6ba6559cfa3db5208f71c61d0,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0005.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0005.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0006,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0006,leung_dfcfc2_pin_3,raw_pex_available_not_l6,L2_pre_layout_pvt,connectivity_lvs,0,1,0,0,350.0,105,4025.11998,6344cbfca4b3df281d162092a3fd1e4fce0c85b9cf3066d1560b62dcb1304fd8,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0006.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0006.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0007,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0007,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,449.0,,,,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0007.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0007.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0008,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0008,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,367.0,112,5781.05423,6329ba1858983976632ec874d9eccbbb69076dcf4672073e65af6e62d693f5a6,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0008.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0008.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0009,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0009,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,352.0,,,,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0009.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0009.source_state.json
