"candidate_id","reward","closure_level","verification_scope","optimizer_source","pre_sim","layout_verification","passive_aware_lvs","post_sim","pvt_sim","drc_count","lvs_match","pex_total_cap_ff","pvt_passed_corners","full_passive_inclusive_gds_lvs_proven"
"cand_0001","-0.11390024867156133","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","skipped",,,,,,,,
"cand_0002","-0.11390024867156133","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","skipped",,,,,,,,
"cand_0003","-0.11390024867156133","L1_pre_layout_nominal","mos_only_projection","frontend_result","proxy_fallback","skipped",,,,,,,,
"cand_0004","-0.11390024867156133","L1_pre_layout_nominal","mos_only_projection","frontend_result","proxy_fallback","skipped",,,,,,,,
"cand_0005","-0.039845910155576196","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","skipped",,,,,,,,
"cand_0006","-0.039845910155576196","L1_pre_layout_nominal","mos_only_projection","frontend_result","proxy_fallback","fail",,"skipped",,,,,,
"cand_0007","-0.11390024867156133","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
"cand_0008","-0.1142121463911572","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
"cand_0009","-0.1142121463911572","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
"cand_0010","-0.1142121463911572","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
"cand_0011","-0.1142121463911572","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
"cand_0012","-0.039845910155576196","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
"cand_0013","-0.039845910155576196","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
"cand_0014","0.28578785360884285","L5_post_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","pass",,"proxy_fallback",,"0","yes","71.4964",,
"cand_0015","0.1357878536088428","L4_layout_verified_mos_only","mos_only_projection","frontend_result","proxy_fallback","pass",,"proxy_fallback",,"0","yes","71.4964",,
"cand_0016","0.1357878536088428","L4_layout_verified_mos_only","mos_only_projection","frontend_result","proxy_fallback","pass",,"proxy_fallback",,"0","yes","71.4964",,
"cand_0017","0.1357878536088428","L4_layout_verified_mos_only","mos_only_projection","frontend_result","proxy_fallback","pass",,"proxy_fallback",,"0","yes","71.4964",,
"cand_0018","-0.11532673588472588","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"proxy_fallback",,,,,,
"cand_0019","0.1357878536088428","L4_layout_verified_mos_only","mos_only_projection","analoggym_grpo","proxy_fallback","pass",,"proxy_fallback",,"0","yes","71.4964",,
"cand_0020","-0.11532673588472588","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
"cand_0021","0.1357878536088428","L4_layout_verified_mos_only","mos_only_projection","analoggym_grpo","proxy_fallback","pass",,"proxy_fallback",,"0","yes","71.4964",,
"cand_0022","-0.11532673588472588","L1_pre_layout_nominal","mos_only_projection","analoggym_grpo","proxy_fallback","fail",,"skipped",,,,,,
